eventType,timestamp,x,y
mousemove,2024-08-27T06:15:32.087Z,553,338
mousemove,2024-08-27T06:15:32.372Z,557,337
mousemove,2024-08-27T06:15:32.675Z,561,336
mousemove,2024-08-27T06:15:32.973Z,565,335
mousemove,2024-08-27T06:15:33.262Z,569,334
mousemove,2024-08-27T06:15:33.574Z,573,333
mousemove,2024-08-27T06:15:33.875Z,578,332
mousemove,2024-08-27T06:15:34.167Z,582,332
mousemove,2024-08-27T06:15:34.458Z,586,331
mousemove,2024-08-27T06:15:34.748Z,590,330
mousemove,2024-08-27T06:15:35.046Z,594,330
mousemove,2024-08-27T06:15:35.339Z,598,329
mousemove,2024-08-27T06:15:35.636Z,602,328
mousemove,2024-08-27T06:15:35.934Z,606,328
mousemove,2024-08-27T06:15:36.229Z,611,327
mousemove,2024-08-27T06:15:36.526Z,615,327
mousemove,2024-08-27T06:15:36.822Z,619,326
mousemove,2024-08-27T06:15:37.120Z,623,326
mousemove,2024-08-27T06:15:37.412Z,626,325
mousemove,2024-08-27T06:15:37.709Z,630,325
mousemove,2024-08-27T06:15:38.004Z,634,324
mousemove,2024-08-27T06:15:38.290Z,638,324
mousemove,2024-08-27T06:15:38.582Z,642,324
mousemove,2024-08-27T06:15:38.877Z,646,323
mousemove,2024-08-27T06:15:39.170Z,649,323
mousemove,2024-08-27T06:15:39.468Z,653,323
mousemove,2024-08-27T06:15:39.765Z,657,323
mousemove,2024-08-27T06:15:40.057Z,660,323
mousemove,2024-08-27T06:15:40.354Z,664,322
mousemove,2024-08-27T06:15:40.649Z,667,322
mousemove,2024-08-27T06:15:40.944Z,671,322
mousemove,2024-08-27T06:15:41.238Z,674,322
mousemove,2024-08-27T06:15:41.532Z,678,322
mousemove,2024-08-27T06:15:41.830Z,681,322
mousemove,2024-08-27T06:15:42.123Z,684,322
mousemove,2024-08-27T06:15:42.419Z,687,322
mousemove,2024-08-27T06:15:42.712Z,691,322
mousemove,2024-08-27T06:15:43.012Z,694,322
mousemove,2024-08-27T06:15:43.301Z,697,322
mousemove,2024-08-27T06:15:43.594Z,700,322
mousemove,2024-08-27T06:15:43.890Z,703,322
mousemove,2024-08-27T06:15:44.180Z,705,322
mousemove,2024-08-27T06:15:44.473Z,708,322
mousemove,2024-08-27T06:15:44.767Z,711,322
mousemove,2024-08-27T06:15:45.063Z,713,322
mousemove,2024-08-27T06:15:45.359Z,716,322
mousemove,2024-08-27T06:15:45.654Z,718,322
mousemove,2024-08-27T06:15:45.948Z,721,322
mousemove,2024-08-27T06:15:46.244Z,723,322
mousemove,2024-08-27T06:15:46.540Z,725,323
mousemove,2024-08-27T06:15:46.835Z,728,323
mousemove,2024-08-27T06:15:47.136Z,730,323
mousemove,2024-08-27T06:15:47.430Z,732,323
mousemove,2024-08-27T06:15:47.724Z,733,323
mousemove,2024-08-27T06:15:48.027Z,735,323
mousemove,2024-08-27T06:15:48.316Z,737,323
mousemove,2024-08-27T06:15:48.611Z,739,324
mousemove,2024-08-27T06:15:48.896Z,740,324
mousemove,2024-08-27T06:15:49.194Z,741,324
mousemove,2024-08-27T06:15:49.482Z,743,324
mousemove,2024-08-27T06:15:49.773Z,744,324
mousemove,2024-08-27T06:15:50.067Z,745,324
mousemove,2024-08-27T06:15:50.363Z,746,324
mousemove,2024-08-27T06:15:50.659Z,747,325
mousemove,2024-08-27T06:15:50.954Z,748,325
mousemove,2024-08-27T06:15:51.252Z,749,325
mousemove,2024-08-27T06:15:51.550Z,749,325
mousemove,2024-08-27T06:15:51.842Z,750,325
mousemove,2024-08-27T06:15:52.150Z,750,325
mousemove,2024-08-27T06:15:52.439Z,750,325
mousemove,2024-08-27T06:15:52.736Z,750,325
mousemove,2024-08-27T06:15:53.030Z,750,325
mousemove,2024-08-27T06:15:53.328Z,750,326
mousemove,2024-08-27T06:15:53.649Z,750,326
mousemove,2024-08-27T06:15:53.937Z,750,326
mousemove,2024-08-27T06:15:54.250Z,749,326
mousemove,2024-08-27T06:15:54.540Z,749,326
mousemove,2024-08-27T06:15:54.833Z,748,326
mousemove,2024-08-27T06:15:55.115Z,747,326
mousemove,2024-08-27T06:15:55.415Z,746,326
mousemove,2024-08-27T06:15:55.706Z,745,326
mousemove,2024-08-27T06:15:55.997Z,744,326
mousemove,2024-08-27T06:15:56.300Z,743,326
mousemove,2024-08-27T06:15:56.584Z,741,326
mousemove,2024-08-27T06:15:56.884Z,739,325
mousemove,2024-08-27T06:15:57.173Z,738,325
mousemove,2024-08-27T06:15:57.468Z,736,325
mousemove,2024-08-27T06:15:57.760Z,734,325
mousemove,2024-08-27T06:15:58.057Z,731,325
mousemove,2024-08-27T06:15:58.352Z,729,325
mousemove,2024-08-27T06:15:58.644Z,726,324
mousemove,2024-08-27T06:15:58.952Z,724,324
mousemove,2024-08-27T06:15:59.241Z,721,324
mousemove,2024-08-27T06:15:59.552Z,718,323
mousemove,2024-08-27T06:15:59.844Z,715,323
mousemove,2024-08-27T06:16:00.142Z,711,323
mousemove,2024-08-27T06:16:00.440Z,708,322
mousemove,2024-08-27T06:16:00.735Z,704,322
mousemove,2024-08-27T06:16:01.029Z,701,321
mousemove,2024-08-27T06:16:01.326Z,697,321
mousemove,2024-08-27T06:16:01.623Z,693,321
mousemove,2024-08-27T06:16:02.453Z,553,402
mousemove,2024-08-27T06:16:02.744Z,557,401
mousemove,2024-08-27T06:16:03.039Z,561,400
mousemove,2024-08-27T06:16:03.329Z,565,399
mousemove,2024-08-27T06:16:03.618Z,569,398
mousemove,2024-08-27T06:16:03.915Z,573,397
mousemove,2024-08-27T06:16:04.210Z,578,396
mousemove,2024-08-27T06:16:04.508Z,582,396
mousemove,2024-08-27T06:16:04.837Z,586,395
mousemove,2024-08-27T06:16:05.123Z,590,394
mousemove,2024-08-27T06:16:05.421Z,594,394
mousemove,2024-08-27T06:16:05.715Z,598,393
mousemove,2024-08-27T06:16:06.009Z,602,392
mousemove,2024-08-27T06:16:06.300Z,606,392
mousemove,2024-08-27T06:16:06.589Z,611,391
mousemove,2024-08-27T06:16:06.888Z,615,391
mousemove,2024-08-27T06:16:07.176Z,619,390
mousemove,2024-08-27T06:16:07.471Z,623,390
mousemove,2024-08-27T06:16:07.762Z,626,389
mousemove,2024-08-27T06:16:08.055Z,630,389
mousemove,2024-08-27T06:16:08.350Z,634,388
mousemove,2024-08-27T06:16:08.641Z,638,388
mousemove,2024-08-27T06:16:08.936Z,642,388
mousemove,2024-08-27T06:16:09.228Z,646,387
mousemove,2024-08-27T06:16:09.539Z,649,387
mousemove,2024-08-27T06:16:09.830Z,653,387
mousemove,2024-08-27T06:16:10.156Z,657,387
mousemove,2024-08-27T06:16:10.453Z,660,387
mousemove,2024-08-27T06:16:10.743Z,664,386
mousemove,2024-08-27T06:16:11.038Z,667,386
mousemove,2024-08-27T06:16:11.329Z,671,386
mousemove,2024-08-27T06:16:11.624Z,674,386
mousemove,2024-08-27T06:16:11.922Z,678,386
mousemove,2024-08-27T06:16:12.215Z,681,386
mousemove,2024-08-27T06:16:12.508Z,684,386
mousemove,2024-08-27T06:16:12.807Z,687,386
mousemove,2024-08-27T06:16:13.099Z,691,386
mousemove,2024-08-27T06:16:13.391Z,694,386
mousemove,2024-08-27T06:16:13.684Z,697,386
