eventType,timestamp,x,y
mousemove,2024-08-27T17:09:44.629Z,1424,514
mousemove,2024-08-27T17:09:44.639Z,1421,512
mousemove,2024-08-27T17:09:44.656Z,1405,503
mousemove,2024-08-27T17:09:44.673Z,1382,490
mousemove,2024-08-27T17:09:44.689Z,1345,475
mousemove,2024-08-27T17:09:44.706Z,1297,453
mousemove,2024-08-27T17:09:44.723Z,1231,427
mousemove,2024-08-27T17:09:44.740Z,1153,399
mousemove,2024-08-27T17:09:44.756Z,1058,365
mousemove,2024-08-27T17:09:44.772Z,953,329
mousemove,2024-08-27T17:09:44.789Z,801,277
mousemove,2024-08-27T17:09:44.806Z,711,246
mousemove,2024-08-27T17:09:44.823Z,627,219
mousemove,2024-08-27T17:09:44.839Z,552,193
mousemove,2024-08-27T17:09:44.856Z,493,177
mousemove,2024-08-27T17:09:44.873Z,446,165
mousemove,2024-08-27T17:09:44.889Z,420,160
mousemove,2024-08-27T17:09:44.906Z,407,160
mousemove,2024-08-27T17:09:44.923Z,404,161
mousemove,2024-08-27T17:09:44.940Z,402,162
mousemove,2024-08-27T17:09:44.957Z,396,171
mousemove,2024-08-27T17:09:44.972Z,392,174
mousemove,2024-08-27T17:09:44.989Z,367,183
mousemove,2024-08-27T17:09:45.006Z,339,188
mousemove,2024-08-27T17:09:45.023Z,306,192
mousemove,2024-08-27T17:09:45.039Z,280,201
mousemove,2024-08-27T17:09:45.056Z,264,217
mousemove,2024-08-27T17:09:45.073Z,259,236
mousemove,2024-08-27T17:09:45.090Z,253,255
mousemove,2024-08-27T17:09:45.106Z,246,271
mousemove,2024-08-27T17:09:45.123Z,239,285
mousemove,2024-08-27T17:09:45.139Z,232,294
mousemove,2024-08-27T17:09:45.156Z,232,299
mousemove,2024-08-27T17:09:45.173Z,233,310
mousemove,2024-08-27T17:09:45.189Z,248,316
mousemove,2024-08-27T17:09:45.206Z,281,314
mousemove,2024-08-27T17:09:45.223Z,328,306
mousemove,2024-08-27T17:09:45.239Z,392,291
mousemove,2024-08-27T17:09:45.256Z,469,272
mousemove,2024-08-27T17:09:45.273Z,564,246
mousemove,2024-08-27T17:09:45.290Z,675,213
mousemove,2024-08-27T17:09:45.306Z,792,184
mousemove,2024-08-27T17:09:45.323Z,906,157
mousemove,2024-08-27T17:09:45.339Z,1007,137
mousemove,2024-08-27T17:09:45.356Z,1100,121
mousemove,2024-08-27T17:09:45.373Z,1174,110
mousemove,2024-08-27T17:09:45.389Z,1243,100
mousemove,2024-08-27T17:09:45.406Z,1264,100
mousemove,2024-08-27T17:09:45.423Z,1276,100
mousemove,2024-08-27T17:09:45.440Z,1278,100
mousemove,2024-08-27T17:09:45.469Z,1279,100
mousemove,2024-08-27T17:09:45.507Z,1280,101
mousemove,2024-08-27T17:09:45.523Z,1280,115
mousemove,2024-08-27T17:09:45.541Z,1280,137
mousemove,2024-08-27T17:09:45.556Z,1268,166
mousemove,2024-08-27T17:09:45.573Z,1248,205
mousemove,2024-08-27T17:09:45.589Z,1196,260
mousemove,2024-08-27T17:09:45.606Z,1144,297
mousemove,2024-08-27T17:09:45.623Z,1071,333
mousemove,2024-08-27T17:09:45.640Z,980,357
mousemove,2024-08-27T17:09:45.656Z,880,385
mousemove,2024-08-27T17:09:45.673Z,780,405
mousemove,2024-08-27T17:09:45.690Z,687,423
mousemove,2024-08-27T17:09:45.707Z,600,432
mousemove,2024-08-27T17:09:45.723Z,527,430
mousemove,2024-08-27T17:09:45.740Z,475,418
mousemove,2024-08-27T17:09:45.756Z,443,401
mousemove,2024-08-27T17:09:45.773Z,434,375
mousemove,2024-08-27T17:09:45.789Z,436,356
mousemove,2024-08-27T17:09:45.806Z,448,331
mousemove,2024-08-27T17:09:45.823Z,466,306
mousemove,2024-08-27T17:09:45.840Z,492,281
mousemove,2024-08-27T17:09:45.856Z,523,257
