eventType,timestamp,x,y
"mousemove","2024-09-19T06:51:16.409Z",1115,15
"mousemove","2024-09-19T06:51:16.461Z",1067,34
"mousemove","2024-09-19T06:51:16.505Z",1019,53
"mousemove","2024-09-19T06:51:16.559Z",971,72
"mousemove","2024-09-19T06:51:16.609Z",923,91
"mousemove","2024-09-19T06:51:16.659Z",875,110
"mousemove","2024-09-19T06:51:16.710Z",827,128
"mousemove","2024-09-19T06:51:16.759Z",779,147
"mousemove","2024-09-19T06:51:16.809Z",731,166
"mousemove","2024-09-19T06:51:16.859Z",683,185
"mousemove","2024-09-19T06:51:16.910Z",635,204
"mousemove","2024-09-19T06:51:16.960Z",587,223
"mousemove","2024-09-19T06:51:17.009Z",539,242
"mousemove","2024-09-19T06:51:17.059Z",491,261
"mousemove","2024-09-19T06:51:17.109Z",443,280
"mousemove","2024-09-19T06:51:17.160Z",395,299
"mousemove","2024-09-19T06:51:17.210Z",347,318
"click","2024-09-19T06:51:17.316Z",347,318
"mousemove","2024-09-19T06:51:18.877Z",347,327
"mousemove","2024-09-19T06:51:18.927Z",347,336
"mousemove","2024-09-19T06:51:18.977Z",347,346
"mousemove","2024-09-19T06:51:19.494Z",346,439
"mousemove","2024-09-19T06:51:19.544Z",346,448
"mousemove","2024-09-19T06:51:19.593Z",346,458
